City,Cluster
abu dhabi,0
agra,0
ahmedabad,0
albany,0
allahabad,0
amritsar,0
ankara,2
armidale,0
athens,0
auckland,0
augusta,0
aurangabad,0
balingup,0
bandung,0
bangalore,0
beechworth,0
bhopal,0
bhubaneshwar,0
birmingham,0
bogor,0
boise,0
brasí_lia,0
cape town,0
cedar rapids/iowa city,0
chandigarh,0
chatham-kent,0
chennai,0
clatskanie,0
cochrane,0
coimbatore,0
colombo,0
columbus,0
consort,0
dalton,0
davenport,0
dehradun,0
des moines,0
dicky beach,0
doha,0
dubai,0
dubuque,0
east ballina,0
edinburgh,0
faridabad,0
fernley,0
flaxton,0
forrest,0
gainesville,0
ghaziabad,0
goa,0
gurgaon,3
guwahati,0
hepburn springs,0
huskisson,0
hyderabad,0
indore,0
inner city,0
inverloch,0
jaipur,0
jakarta,0
johannesburg,0
kanpur,0
kochi,0
kolkata,0
lakes entrance,0
lakeview,0
lincoln,0
london,0
lorn,0
lucknow,0
ludhiana,0
macedon,0
macon,0
makati city,0
manchester,0
mandaluyong city,0
mangalore,0
mayfield,0
mc millan,0
middleton beach,0
mohali,0
monroe,0
montville,0
mumbai,0
mysore,0
nagpur,0
nashik,0
new delhi,1
noida,3
ojo caliente,0
orlando,0
palm cove,0
panchkula,0
pasay city,0
pasig city,0
patna,0
paynesville,0
penola,0
pensacola,0
phillip island,0
pocatello,0
potrero,0
pretoria,0
princeton,0
puducherry,0
pune,0
quezon city,0
ranchi,0
randburg,0
rest of hawaii,0
rio de janeiro,0
san juan city,0
sandton,0
santa rosa,0
savannah,0
secunderabad,0
sharjah,0
singapore,0
sioux city,0
surat,0
sí£o paulo,0
tagaytay city,0
taguig city,0
tampa bay,0
tangerang,0
tanunda,0
trentham east,0
vadodara,0
valdosta,0
varanasi,0
vernonia,0
victor harbor,0
vineland station,0
vizag,0
waterloo,0
weirton,0
wellington city,0
winchester bay,0
yorkton,0
ûástanbul,0
